texto,fonte,source_url,veredito,data,image_url,tags
Lula pede ao TSE para barrar vídeos na internet durante as eleições,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/04/14/falso-lula-pediu-tse-proibir-videos-na-internet-eleicoes.amp.htm,FALSO,2026-04-14 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ5wNKBSJg7fgknLs4YCicVkhnm0h5u3p0HlfXIZAzx32ONvWXy,"['Luiz Inácio Lula da Silva', 'Tribunal Superior Eleitoral', 'Eleição', 'Internet', 'Vídeo']"
"Flávio Bolsonaro disse que vai privatizar o SUS, caso seja eleito presidente.",Aos Fatos,https://www.aosfatos.org/noticias/falso-flavio-bolsonaro-disse-privatizar-sus-se-eleito-presidente/,FALSO,2026-04-13 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR7NWcXk4r99cAC9vmkMh5l-y4XGFH-kPbVrFOJAJDNdgC6bTXZ,"['Flávio Bolsonaro', 'Privatização', 'Sistema Único de Saúde', 'Presidente', 'Eleição']"
"Lula diz, em áudio, que só venceu a eleição porque o povo nordestino é analfabeto",Aos Fatos,https://www.aosfatos.org/noticias/lula-nao-disse-que-foi-eleito-porque-o-povo-nordestino-e-analfabeto/,FALSO,2026-04-13 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQmURkMTp06a_3cP0vRa_8cAKf81JMO0Vzx-shYy1d4cVPvplbD,"['Luiz Inácio Lula da Silva', 'Eleição', 'Povo', 'Som']"
Eleição sem internet: Lula pede ao TSE para proibir vídeos durante eleições,AFP Checamos,https://checamos.afp.com/doc.afp.com.A7BG6T4,FALSO,2026-04-09 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR8fgPCTDWfOgH9OESy9M7xi0iEv6ycj_SCMhOThGtpxw5EjL5M,"['Luiz Inácio Lula da Silva', 'Tribunal Superior Eleitoral', 'Eleição', 'Internet', 'Vídeo']"
Áudio grampeado de Lula exige prisão e inelegibilidade de Flávio Bolsonaro antes das eleições,Estadão,https://www.estadao.com.br/estadao-verifica/audio-falso-lula-prisao-flavio-bolsonaro-eleicoes/,FALSO,2026-03-25 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRuDo7Tx7UFOS7RTgsRYKaK0AypKs3wftm430LuobF5g8iq-ztt,"['Flávio Bolsonaro', 'Luiz Inácio Lula da Silva', 'Inelegibilidade', 'Eleição', 'Prisão']"
2022: Ministros do TSE consideram crime diminuir preço de combustível em ano eleitoral. 2026: Entenda o pacote de Lula para reduzir o preço do diesel,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/03/20/tse-nao-decidiu-que-reduzir-combustivel-em-ano-eleitoral-e-crime.ghtm,FALSO,2026-03-20 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRb87IvWN8DnvuAC4z5Q2xtKgfPD7madTRd08JeeLqjguQsnb0t,"['Crime', 'Combustível', 'Eleição', 'Ministro do Tribunal Superior Eleitoral do Brasil', 'Ministro', 'Luiz Inácio Lula da Silva', '2026', 'Preço', '2022', 'Diesel']"
Flávio Bolsonaro diz que se for eleito criará uma lei de redução de salário,AFP Checamos,https://checamos.afp.com/doc.afp.com.A3YK4CQ,FALSO,2026-03-19 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQVGNhXswmk_Qbl4l-qVHaLxUqkjSpw-W66jqPsdXpuk2QboguE,"['Flávio Bolsonaro', 'Salário', 'Eleição', 'Lei']"
Lula ladrão seu lugar é na prisão em plena propaganda eleitoral na Marquês de Sapucaí,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/02/19/falso-video-lula-vaiado-sapucai.htm,FALSO,2026-02-19 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ4bbjH1E0H5lEX-D1nL2Av8drhtb-Lio2D__oS83ZF_PnOteHn,"['Sambódromo Marquês de Sapucaí', 'Luiz Inácio Lula da Silva', 'Eleição', 'Cândido José de Araújo Viana', 'Campanha eleitoral', 'Prisão', 'Propaganda']"
"Judiciário brasileiro é eleito o segundo mais corrupto e injusto do mundo, segundo ranking global",BOL - UOL,https://www.bol.uol.com.br/noticias/2026/01/27/enganoso-judiciario-brasileiro-segundo-mais-corrupto-do-mundo.htm,FALSO,2026-01-27 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTuIM6xPeOZMY5kkaHPL5UztJkrN4PX3GkG1rkgbSBIsUx8Ga_Y,"['Corrupção', 'Poder judiciário', 'Mundo', 'Eleição']"
"Judiciário brasileiro é eleito o 2º mais corrupto e injusto do mundo, segundo ranking global",AFP Checamos,https://checamos.afp.com/doc.afp.com.943D264,FALSO,2026-01-26 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQqcwirq5GkI6aS1SdEBsabNRpEeIKui32ZfVThHUnhrTYHuPr0,"['Corrupção', 'Poder judiciário', 'Eleição', 'Mundo']"
